game_date,game_name,game_status,game_video,winner_name,second_name,winner_rank,second_rank,winner_score,second_score,winner_logo,second_logo
03/20/2021,FIRST ROUND,FINAL,/game/5774499,Iowa,Grand Canyon,2,15,86,74,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/grand-canyon.svg
03/20/2021,FIRST ROUND,FINAL,/game/5774506,Maryland,Maryland,10,10,63,63,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg
03/20/2021,FIRST ROUND,FINAL,/game/5774495,Ohio,Ohio,13,13,62,62,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio.svg
03/20/2021,FIRST ROUND,FINAL,/game/5774493,Oklahoma,Missouri,8,9,72,68,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri.svg
03/20/2021,FIRST ROUND,FINAL,/game/5774492,Gonzaga,Norfolk St.,1,16,98,55,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/norfolk-st.svg
03/20/2021,FIRST ROUND,FINAL,/game/5774504,UCLA,UCLA,11,11,73,73,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
03/20/2021,FIRST ROUND,FINAL,/game/5774505,Abilene Christian,Abilene Christian,14,14,53,53,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg
03/20/2021,FIRST ROUND,forfeit,/game/5774498,Oregon,VCU,7,10,,,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/vcu.svg
03/21/2021,SECOND ROUND,FINAL,/game/5774536,Loyola Chicago,Loyola Chicago,8,8,71,71,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-chicago.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-chicago.svg
03/21/2021,SECOND ROUND,FINAL,/game/5774532,Baylor,Wisconsin,1,9,76,63,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wisconsin.svg
